"","id","sexo","edad","edad_r","hab","prov","ccaa","edu","cs","p1","p2","p3","p4_1","p4_2","p4_3","p4_4","p5","p6","p7","hab_r","clase_social_r","situacion_laboral_r","educacion_r","ponde"
"974","974","Hombre",48,"45-54","500.000+","Madrid","Madrid, Comunidad de","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","B","Con toda seguridad, iría a votar 10","Vox","Ciudadanos","2","7","No le votaría nunca 0","8","Ciudadanos","6","7","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, primer ciclo",0.629277
"975","975","Hombre",55,"55-64","< 10.000","Badajoz","Extremadura","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","D","Con toda seguridad, iría a votar 10","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","Le votaría siempre 10","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","5","5","Menos de 10.000","Media baja / Baja","Pensionista","Segundo grado, segundo ciclo",1.440156
"976","976","Hombre",47,"45-54","100.001 - 500.000","Tarragona","Cataluña","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","B","7","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","Ciudadanos","3","6","8","4","Ciudadanos","5","6","Más de 10.000","Alta / Media Alta","Trabaja","Segundo grado, segundo ciclo",0.647046
"977","977","Mujer",30,"25-34","100.001 - 500.000","Alicante/Alacant","Comunitat Valenciana","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","C","5","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","PP (Partido Popular)","3","5","2","No le votaría nunca 0","PP (Partido Popular)","5","6","Más de 10.000","Media","Trabaja","Tercer grado, segundo ciclo y más",0.794448
"978","978","Hombre",51,"45-54","20.001 - 50.000","Madrid","Madrid, Comunidad de","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","A2","Con toda seguridad, iría a votar 10","Prefiero no contestar","Ciudadanos","No lo sé","No lo sé","No lo sé","No lo sé","Ciudadanos","No lo sé","Máximo centralismo 10","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.711872
"979","979","Mujer",35,"35-44","50.001 - 100.000","Toledo","Castilla - La Mancha","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","C","Con toda seguridad, iría a votar 10","No lo sé","PACMA (Partido Animalista Contra el Maltrato Animal)","5","1","6","No le votaría nunca 0","PACMA (Partido Animalista Contra el Maltrato Animal)","4","No lo sé","Más de 10.000","Media","Parado","Tercer grado, primer ciclo",0.874324
"980","980","Hombre",57,"55-64","< 10.000","Almería","Andalucía","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","C","Con toda seguridad, iría a votar 10","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","5","No le votaría nunca 0","9","No le votaría nunca 0","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En","Extrema izquierda 0","Máxima descentralización 0","Menos de 10.000","Media","Trabaja","Tercer grado, segundo ciclo y más",1.127387
"981","981","Hombre",57,"55-64","10.001 - 20.000","Sevilla","Andalucía","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","D","Con toda seguridad, iría a votar 10","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","2","No le votaría nunca 0","Le votaría siempre 10","No le votaría nunca 0","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En","2","4","Más de 10.000","Media baja / Baja","Trabaja","Segundo grado, segundo ciclo",0.980246
"982","982","Mujer",23,"18-24","50.001 - 100.000","Segovia","Castilla y León","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","C","6","PACMA (Partido Animalista Contra el Maltrato Animal)","PACMA (Partido Animalista Contra el Maltrato Animal)","7","4","5","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","5","6","Más de 10.000","Media","Trabaja","Segundo grado, segundo ciclo",0.846207
"983","983","Hombre",54,"45-54","< 10.000","Soria","Castilla y León","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","D","9","Otro","Ninguno","5","5","No le votaría nunca 0","4","PSOE (Partido Socialista Obrero Español)","5","Máximo centralismo 10","Menos de 10.000","Media baja / Baja","Trabaja","Segundo grado, segundo ciclo",1.130619
"984","984","Mujer",45,"45-54","< 10.000","Castellón/Castelló","Comunitat Valenciana","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","C","Con toda seguridad, iría a votar 10","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","Más País (Equo, Compromís, CHA)","Le votaría siempre 10","No le votaría nunca 0","Le votaría siempre 10","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","Extrema izquierda 0","Máxima descentralización 0","Menos de 10.000","Media","Trabaja","Tercer grado, primer ciclo",0.914146
"985","985","Mujer",62,"55-64","500.000+","Valencia/València","Comunitat Valenciana","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","E1","Con toda seguridad, iría a votar 10","Vox","Vox","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","Le votaría siempre 10","Vox","7","7","Más de 10.000","Media baja / Baja","Pensionista","Tercer grado, segundo ciclo y más",0.824655
"986","986","Hombre",68,"65+","< 10.000","Cantabria","Cantabria","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","E1","5","PP (Partido Popular)","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","5","5","5","5","PSOE (Partido Socialista Obrero Español)","5","2","Menos de 10.000","Media baja / Baja","Pensionista","Segundo grado, segundo ciclo",1.351871
"987","987","Hombre",20,"18-24","50.001 - 100.000","Alicante/Alacant","Comunitat Valenciana","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","B","Con toda seguridad, iría a votar 10","Vox","Vox","No le votaría nunca 0","7","No le votaría nunca 0","Le votaría siempre 10","Vox","8","8","Más de 10.000","Alta / Media Alta","Estudiante","Tercer grado, primer ciclo",0.599856
"988","988","Mujer",44,"35-44","20.001 - 50.000","Castellón/Castelló","Comunitat Valenciana","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","B","No lo sé","No lo sé","No lo sé","No lo sé","No lo sé","No lo sé","No lo sé","No lo sé","No lo sé","No lo sé","Más de 10.000","Alta / Media Alta","Trabaja","Segundo grado, segundo ciclo",0.643503
"989","989","Hombre",57,"55-64","100.001 - 500.000","Madrid","Madrid, Comunidad de","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","E1","Con toda seguridad, iría a votar 10","Vox","Vox","No le votaría nunca 0","8","No le votaría nunca 0","Le votaría siempre 10","Vox","9","9","Más de 10.000","Media baja / Baja","Parado","Segundo grado, segundo ciclo",0.876213
"990","990","Hombre",22,"18-24","500.000+","Málaga","Andalucía","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","C","Con toda seguridad, iría a votar 10","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","6","1","9","No le votaría nunca 0","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En","2","2","Más de 10.000","Media","Estudiante","Tercer grado, primer ciclo",0.863639
"991","991","Mujer",31,"25-34","< 10.000","Barcelona","Cataluña","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","A1","7","ERC - Sobiranistes","CUP","3","No le votaría nunca 0","7","No le votaría nunca 0","CUP","1","2","Menos de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",1.443217
"992","992","Hombre",45,"45-54","20.001 - 50.000","Murcia","Murcia, Región de","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","C","Con toda seguridad, iría a votar 10","Vox","Vox","No le votaría nunca 0","5","No le votaría nunca 0","9","Vox","5","7","Más de 10.000","Media","Trabaja","Segundo grado, segundo ciclo",1.069229
"993","993","Hombre",66,"65+","20.001 - 50.000","Alicante/Alacant","Comunitat Valenciana","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","A1","8","No lo sé","PSOE (Partido Socialista Obrero Español)","7","7","No le votaría nunca 0","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","No lo sé","No lo sé","Más de 10.000","Alta / Media Alta","Pensionista","Tercer grado, primer ciclo",1.442416
"994","994","Hombre",69,"65+","100.001 - 500.000","Barcelona","Cataluña","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","C","8","Ciudadanos","Ciudadanos","5","4","2","1","Ciudadanos","5","3","Más de 10.000","Media","Pensionista","Segundo grado, segundo ciclo",1.188785
"995","995","Hombre",59,"55-64","20.001 - 50.000","Alicante/Alacant","Comunitat Valenciana","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","B","Con toda seguridad, iría a votar 10","PP (Partido Popular)","PP (Partido Popular)","3","9","No le votaría nunca 0","6","PP (Partido Popular)","8","4","Más de 10.000","Alta / Media Alta","Trabajo del hogar no remunerado","Segundo grado, segundo ciclo",0.595449
"996","996","Hombre",43,"35-44","50.001 - 100.000","Barcelona","Cataluña","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","A2","9","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","7","2","1","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","5","Máxima descentralización 0","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.85307
"997","997","Mujer",27,"25-34","50.001 - 100.000","Cuenca","Castilla - La Mancha","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","A1","Con toda seguridad, iría a votar 10","No lo sé","Ninguno","5","5","No le votaría nunca 0","No le votaría nunca 0","No voté","5","5","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",1.149614
"998","998","Hombre",45,"45-54","500.000+","Madrid","Madrid, Comunidad de","Tercer Grado (Máster)","A1","8","Vox","Vox","5","6","3","8","Vox","8","7","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",1.042701
"999","999","Hombre",58,"55-64","20.001 - 50.000","Coruña, A","Galicia","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","C","9","No lo sé","PSOE (Partido Socialista Obrero Español)","8","No le votaría nunca 0","5","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","3","2","Más de 10.000","Media","Trabaja","Segundo grado, segundo ciclo",0.808245
"1000","1000","Mujer",58,"55-64","50.001 - 100.000","Barcelona","Cataluña","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","D","Con toda seguridad, iría a votar 10","PP (Partido Popular)","PP (Partido Popular)","4","9","1","1","PP (Partido Popular)","6","4","Más de 10.000","Media baja / Baja","Trabaja","Segundo grado, segundo ciclo",1.022196
"1001","1001","Hombre",63,"55-64","10.001 - 20.000","Barcelona","Cataluña","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","C","Con toda seguridad, iría a votar 10","ERC - Sobiranistes","ERC - Sobiranistes","7","No le votaría nunca 0","7","No le votaría nunca 0","ERC - Sobiranistes","4","Máxima descentralización 0","Más de 10.000","Media","Trabaja","Tercer grado, primer ciclo",0.795054
"1002","1002","Mujer",35,"35-44","< 10.000","Salamanca","Castilla y León","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","A2","Con toda seguridad, iría a votar 10","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","2","No le votaría nunca 0","Le votaría siempre 10","No le votaría nunca 0","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En","Extrema izquierda 0","4","Menos de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.909534
"1003","1003","Mujer",56,"55-64","100.001 - 500.000","Salamanca","Castilla y León","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","D","Con toda seguridad, iría a votar 10","PP (Partido Popular)","PP (Partido Popular)","No le votaría nunca 0","Le votaría siempre 10","No le votaría nunca 0","1","PP (Partido Popular)","7","8","Más de 10.000","Media baja / Baja","Trabaja","Tercer grado, segundo ciclo y más",0.878841
"1004","1004","Hombre",37,"35-44","50.001 - 100.000","Madrid","Madrid, Comunidad de","Tercer Grado (Máster)","A2","Con toda seguridad, iría a votar 10","PP (Partido Popular)","PP (Partido Popular)","No le votaría nunca 0","6","No le votaría nunca 0","2","Ciudadanos","7","1","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.813542
"1005","1005","Mujer",39,"35-44","100.001 - 500.000","Barcelona","Cataluña","Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa,","C","5","PSOE (Partido Socialista Obrero Español)","PACMA (Partido Animalista Contra el Maltrato Animal)","6","No le votaría nunca 0","4","7","ERC - Sobiranistes","Extrema izquierda 0","5","Más de 10.000","Media","Parado","Segundo grado, primer ciclo y menos",0.878783
"1006","1006","Hombre",44,"35-44","10.001 - 20.000","Huelva","Andalucía","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","A2","Con toda seguridad, iría a votar 10","Ciudadanos","Ciudadanos","6","7","No le votaría nunca 0","No le votaría nunca 0","Ciudadanos","5","Máximo centralismo 10","Más de 10.000","Alta / Media Alta","Trabaja","Segundo grado, segundo ciclo",0.81222
"1007","1007","Mujer",39,"35-44","500.000+","Madrid","Madrid, Comunidad de","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","D","Con toda seguridad, iría a votar 10","Vox","PP (Partido Popular)","3","8","No le votaría nunca 0","9","PP (Partido Popular)","6","6","Más de 10.000","Media baja / Baja","Trabaja","Tercer grado, primer ciclo",0.949291
"1008","1008","Hombre",52,"45-54","10.001 - 20.000","Pontevedra","Galicia","Tercer Grado (Máster)","A1","Con toda seguridad, iría a votar 10","PP (Partido Popular)","PP (Partido Popular)","No le votaría nunca 0","Le votaría siempre 10","No le votaría nunca 0","9","PP (Partido Popular)","7","7","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.981445
"1009","1009","Hombre",45,"45-54","500.000+","Barcelona","Cataluña","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","A2","Con toda seguridad, iría a votar 10","ERC - Sobiranistes","ERC - Sobiranistes","5","No le votaría nunca 0","6","No le votaría nunca 0","ERC - Sobiranistes","3","1","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, primer ciclo",0.717039
"1010","1010","Hombre",47,"45-54","100.001 - 500.000","Murcia","Murcia, Región de","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","E1","7","Ciudadanos","Ciudadanos","No le votaría nunca 0","4","No le votaría nunca 0","No le votaría nunca 0","Ciudadanos","5","5","Más de 10.000","Media baja / Baja","Trabaja","Segundo grado, segundo ciclo",1.137979
"1011","1011","Mujer",60,"55-64","10.001 - 20.000","Badajoz","Extremadura","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","C","Con toda seguridad, iría a votar 10","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","5","No le votaría nunca 0","9","No le votaría nunca 0","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En","3","8","Más de 10.000","Media","Trabaja","Tercer grado, primer ciclo",1.007714
"1012","1012","Mujer",18,"18-24","20.001 - 50.000","Badajoz","Extremadura","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","C","Con toda seguridad, iría a votar 10","No lo sé","PSOE (Partido Socialista Obrero Español)","6","5","3","1","No tenía edad para votar","5","5","Más de 10.000","Media","Estudiante","Segundo grado, segundo ciclo",1.02662
"1013","1013","Mujer",24,"18-24","20.001 - 50.000","Sevilla","Andalucía","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","A2","Con toda seguridad, NO iría a votar 0","No votaré","Ninguno","No lo sé","No lo sé","No lo sé","No lo sé","No voté","No lo sé","No lo sé","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, primer ciclo",0.754772
"1014","1014","Mujer",63,"55-64","20.001 - 50.000","Tarragona","Cataluña","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","E1","Con toda seguridad, iría a votar 10","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","8","No le votaría nunca 0","9","No le votaría nunca 0","ERC - Sobiranistes","1","1","Más de 10.000","Media baja / Baja","Pensionista","Segundo grado, segundo ciclo",0.968452
"1015","1015","Mujer",49,"45-54","< 10.000","Toledo","Castilla - La Mancha","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","C","Con toda seguridad, iría a votar 10","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","Le votaría siempre 10","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","Extrema izquierda 0","5","Menos de 10.000","Media","Trabaja","Segundo grado, segundo ciclo",0.900095
"1016","1016","Mujer",55,"55-64","100.001 - 500.000","Balears, Illes","Balears, Illes","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","D","No lo sé","No lo sé","No lo sé","No lo sé","No lo sé","No lo sé","No lo sé","No lo sé","No lo sé","No lo sé","Más de 10.000","Media baja / Baja","Parado","Segundo grado, segundo ciclo",1.68713
"1017","1017","Hombre",40,"35-44","20.001 - 50.000","Valencia/València","Comunitat Valenciana","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","C","Con toda seguridad, iría a votar 10","Vox","Vox","No le votaría nunca 0","7","No le votaría nunca 0","Le votaría siempre 10","Vox","Extrema derecha 10","Máximo centralismo 10","Más de 10.000","Media","Pensionista","Segundo grado, segundo ciclo",0.832966
"1018","1018","Hombre",20,"18-24","10.001 - 20.000","Granada","Andalucía","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","A2","7","No lo sé","PSOE (Partido Socialista Obrero Español)","8","No le votaría nunca 0","2","4","PSOE (Partido Socialista Obrero Español)","2","5","Más de 10.000","Alta / Media Alta","Trabaja","Segundo grado, segundo ciclo",0.700121
"1019","1019","Hombre",44,"35-44","20.001 - 50.000","Huelva","Andalucía","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","C","2","No lo sé","Otro","3","3","No le votaría nunca 0","No le votaría nunca 0","No voté","2","3","Más de 10.000","Media","Trabaja","Segundo grado, segundo ciclo",1.043029
"1020","1020","Hombre",47,"45-54","100.001 - 500.000","Cádiz","Andalucía","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","B","Con toda seguridad, iría a votar 10","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","5","No le votaría nunca 0","Le votaría siempre 10","No le votaría nunca 0","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En","1","3","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.718228
"1021","1021","Mujer",33,"25-34","< 10.000","Barcelona","Cataluña","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","E1","8","Votaré nulo","Ninguno","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","Voté nulo","2","3","Menos de 10.000","Media baja / Baja","Parado","Tercer grado, segundo ciclo y más",1.264786
"1022","1022","Hombre",51,"45-54","< 10.000","Alicante/Alacant","Comunitat Valenciana","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","B","9","PP (Partido Popular)","PP (Partido Popular)","No le votaría nunca 0","8","No le votaría nunca 0","No le votaría nunca 0","PP (Partido Popular)","5","Máximo centralismo 10","Menos de 10.000","Alta / Media Alta","Trabaja","Segundo grado, segundo ciclo",0.716413
"1023","1023","Hombre",31,"25-34","10.001 - 20.000","Madrid","Madrid, Comunidad de","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","E2","Con toda seguridad, iría a votar 10","PP (Partido Popular)","PSOE (Partido Socialista Obrero Español)","No le votaría nunca 0","Le votaría siempre 10","No le votaría nunca 0","No le votaría nunca 0","PRC","Extrema derecha 10","1","Más de 10.000","Media baja / Baja","Parado","Tercer grado, primer ciclo",1.52372
"1024","1024","Hombre",65,"65+","500.000+","Sevilla","Andalucía","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","E1","Con toda seguridad, iría a votar 10","Ciudadanos","Ciudadanos","No le votaría nunca 0","9","No le votaría nunca 0","Le votaría siempre 10","Ciudadanos","5","5","Más de 10.000","Media baja / Baja","Parado","Segundo grado, segundo ciclo",1.520483
"1025","1025","Mujer",27,"25-34","20.001 - 50.000","Palmas, Las","Canarias","Tercer Grado (Máster)","C","Con toda seguridad, iría a votar 10","PACMA (Partido Animalista Contra el Maltrato Animal)","PACMA (Partido Animalista Contra el Maltrato Animal)","2","1","1","No le votaría nunca 0","PACMA (Partido Animalista Contra el Maltrato Animal)","5","5","Más de 10.000","Media","Parado","Tercer grado, segundo ciclo y más",0.956319
"1026","1026","Hombre",31,"25-34","< 10.000","Lleida","Cataluña","Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa,","E1","Con toda seguridad, NO iría a votar 0","No votaré","Ninguno","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","No voté","Extrema izquierda 0","Máxima descentralización 0","Menos de 10.000","Media baja / Baja","Parado","Segundo grado, primer ciclo y menos",1.273882
"1027","1027","Hombre",60,"55-64","20.001 - 50.000","Bizkaia","País Vasco","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","A2","Con toda seguridad, iría a votar 10","PSOE (Partido Socialista Obrero Español)","Prefiero no contestar","Le votaría siempre 10","No le votaría nunca 0","2","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","2","No lo sé","Más de 10.000","Alta / Media Alta","Trabaja","Segundo grado, segundo ciclo",0.960608
"1028","1028","Hombre",55,"55-64","500.000+","Sevilla","Andalucía","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","C","Con toda seguridad, iría a votar 10","PSOE (Partido Socialista Obrero Español)","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","Le votaría siempre 10","3","7","1","PSOE (Partido Socialista Obrero Español)","3","4","Más de 10.000","Media","Trabaja","Segundo grado, segundo ciclo",0.920481
"1029","1029","Mujer",45,"45-54","10.001 - 20.000","Gipuzkoa","País Vasco","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","E1","5","No lo sé","Ninguno","5","5","5","No le votaría nunca 0","EAJ - PNV","No lo sé","No lo sé","Más de 10.000","Media baja / Baja","Trabajo del hogar no remunerado","Segundo grado, segundo ciclo",1.200358
"1030","1030","Hombre",74,"65+","500.000+","Madrid","Madrid, Comunidad de","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","A1","Con toda seguridad, iría a votar 10","PP (Partido Popular)","PP (Partido Popular)","1","Le votaría siempre 10","1","6","PP (Partido Popular)","7","Máximo centralismo 10","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, primer ciclo",1.490609
"1031","1031","Hombre",56,"55-64","20.001 - 50.000","Gipuzkoa","País Vasco","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","A2","Con toda seguridad, iría a votar 10","No lo sé","Otro","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","Voté en blanco","2","7","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, primer ciclo",0.960608
"1032","1032","Hombre",46,"45-54","< 10.000","Girona","Cataluña","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","A2","Con toda seguridad, iría a votar 10","JxCAT - Junts","JxCAT - Junts","5","No le votaría nunca 0","6","No le votaría nunca 0","JxCAT - Junts","2","Máxima descentralización 0","Menos de 10.000","Alta / Media Alta","Trabaja","Segundo grado, segundo ciclo",0.878216
"1033","1033","Mujer",28,"25-34","100.001 - 500.000","Jaén","Andalucía","Primer Grado (Certificado escolar, 1ª etapa de EGB, más o me","E2","5","No lo sé","No lo sé","No lo sé","No lo sé","No lo sé","No lo sé","No lo sé","No lo sé","No lo sé","Más de 10.000","Media baja / Baja","Parado","Segundo grado, primer ciclo y menos",1.800959
"1034","1034","Mujer",26,"25-34","20.001 - 50.000","Valencia/València","Comunitat Valenciana","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","A1","Con toda seguridad, iría a votar 10","No lo sé","Ninguno","5","5","5","5","Voté en blanco","No lo sé","5","Más de 10.000","Alta / Media Alta","Trabaja","Segundo grado, segundo ciclo",1.087414
"1035","1035","Hombre",56,"55-64","10.001 - 20.000","Balears, Illes","Balears, Illes","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","B","Con toda seguridad, iría a votar 10","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","Le votaría siempre 10","No le votaría nunca 0","5","2","PSOE (Partido Socialista Obrero Español)","3","5","Más de 10.000","Alta / Media Alta","Trabaja","Segundo grado, segundo ciclo",1.163875
"1036","1036","Hombre",61,"55-64","100.001 - 500.000","Castellón/Castelló","Comunitat Valenciana","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","A2","Con toda seguridad, iría a votar 10","Vox","Ciudadanos","No le votaría nunca 0","5","No le votaría nunca 0","Le votaría siempre 10","Vox","8","5","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.609488
"1037","1037","Mujer",39,"35-44","< 10.000","Málaga","Andalucía","Primer Grado (Certificado escolar, 1ª etapa de EGB, más o me","E1","No lo sé","Prefiero no contestar","Prefiero no contestar","No lo sé","No lo sé","No lo sé","No lo sé","Prefiero no contestar","No lo sé","No lo sé","Menos de 10.000","Media baja / Baja","Parado","Segundo grado, primer ciclo y menos",1.376633
"1038","1038","Mujer",34,"25-34","100.001 - 500.000","Madrid","Madrid, Comunidad de","Tercer Grado (Máster)","A1","Con toda seguridad, iría a votar 10","Más País (Equo, Compromís, CHA)","Más País (Equo, Compromís, CHA)","7","4","3","No le votaría nunca 0","Más País (Equo, Més Compromís, CHA)","5","5","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",1.101935
"1039","1039","Mujer",25,"25-34","50.001 - 100.000","Alicante/Alacant","Comunitat Valenciana","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","A2","9","Vox","Vox","4","4","2","9","PSOE (Partido Socialista Obrero Español)","7","7","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.765697
